id,company,title,category,location,salary_range,source_type,source_url,careers_url,date_found,entry_level_fit,description,status
10,Liberty Mutual,Underwriting Development Program - Global Risk Solutions (June 2026),program,"Boston, MA",not posted (UDP roles typically $60K+),direct,https://jobs.libertymutualgroup.com,https://jobs.libertymutualgroup.com,2026-07-03,strong,Structured new-grad underwriting program; ~6-month curriculum then a desk under experienced underwriters.,not_applied
8,MAPFRE Insurance,Operational Support Services Representative,operations,"Webster, MA",$21.50-$23.50/hr,direct,https://www.mapfreinsurance.com/careers/,https://www.mapfreinsurance.com/careers/,2026-07-03,strong,"Reviews, verifies, processes incoming insurance documentation supporting all areas of Insurance Operations. 90-day on-site training, then advancement.",not_applied
9,MAPFRE Insurance,Commercial Lines Underwriting Assistant,underwriting,"Webster, MA",not posted,direct,https://www.mapfreinsurance.com/careers/,https://www.mapfreinsurance.com/careers/,2026-07-03,strong,Supports underwriting team gathering/evaluating/analyzing risk info from applications and inspections. Insurance experience preferred but not required.,not_applied
17,MassMutual,Operations Associate,operations,"Springfield, MA",not posted,direct,https://careers.massmutual.com/search-jobs,https://careers.massmutual.com/search-jobs,2026-07-03,strong,"Life-insurance operations: reviewing/preparing work orders for rating and issuing policies, applying screening criteria, obtaining underwriting info from customers.",not_applied
14,Quincy Mutual Group,Underwriting Account Specialist I,underwriting,"Quincy, MA",not posted,direct,https://www.quincymutual.com/open-positions.htm,https://www.quincymutual.com/open-positions.htm,2026-07-03,strong,"Administrative + technical support to underwriting team; assists with evaluating and processing commercial P&C transactions. Plain-HTML careers page, rarely on aggregators.",not_applied
15,Quincy Mutual Group,Underwriting Client Specialist,underwriting,"Quincy, MA",not posted,direct,https://www.quincymutual.com/open-positions.htm,https://www.quincymutual.com/open-positions.htm,2026-07-03,strong,Entry-level underwriting responsibilities; facilitates communication between clients and underwriters.,not_applied
1,Safety Insurance,Associate Commercial Underwriter,underwriting,"Boston, MA","$53,000-$67,000",direct,https://www.safetyinsurance.com/careers/job_postings.html,https://www.safetyinsurance.com/careers/job_postings.html,2026-07-03,strong,"Reviews, evaluates and processes new and renewal business submissions for commercial underwriters. Hybrid, 37.5-hr week, downtown Boston.",not_applied
2,Safety Insurance,Operations Associate,operations,"Boston, MA",~$52K-$63K (est.),direct,https://www.safetyinsurance.com/careers/job_postings.html,https://www.safetyinsurance.com/careers/job_postings.html,2026-07-03,strong,"Processes insurance policy transactions, customer service, collaborates with internal teams.",not_applied
5,The Hanover Insurance Group,"Associate Underwriter, Hanover Specialty Industrial",underwriting,"Worcester, MA",not posted,direct,https://careers.hanover.com,https://careers.hanover.com,2026-07-03,strong,"Specialty industrial associate underwriter; posting seen on LinkedIn, apply via Hanover Workday portal.",not_applied
6,The Hanover Insurance Group,Personal Lines Associate Underwriter,underwriting,"Worcester, MA",not posted,direct,https://careers.hanover.com,https://careers.hanover.com,2026-07-03,strong,Entry personal-lines underwriting role at Worcester HQ.,not_applied
